symbol,date,price
Chinese,Dec 1928,356917.0
Chinese,Dec 1929,467099.0
Chinese,Dec 1930,382805.0
Chinese,Dec 1931,517094.0
Chinese,Dec 1932,785237.0
Chinese,Dec 1933,686009.0
Chinese,Dec 1934,373445.0
Chinese,Dec 1935,561351.0
Chinese,Dec 1936,771516.0
Chinese,Dec 1937,557562.0
Chinese,Dec 1938,340101.0
Chinese,Dec 1939,505801.0
Chinese,Dec 1940,171858.0
Chinese,Dec 1941,211460.0
Chinese,Dec 1942,61681.0
Chinese,Dec 1943,101931.0
Chinese,Dec 1944,67896.0
Chinese,Dec 1945,47480.0
Chinese,Dec 1946,260608.0
Chinese,Dec 1947,513208.0
Chinese,Dec 1948,363137.0
Chinese,Dec 1949,3334327.0
Chinese,Dec 1950,1359277.0
Chinese,Dec 1951,1269985.0
Chinese,Dec 1952,1626667.0
Chinese,Dec 1953,1370328.0
Chinese,Dec 1954,1484527.0
Chinese,Dec 1955,7405826.0
Chinese,Dec 1956,38074634.0
Chinese,Dec 1957,33408351.0
Chinese,Dec 1958,31149984.0
Chinese,Dec 1959,27856389.0
Chinese,Dec 1960,12893803.0
Chinese,Dec 1961,9894843.0
Chinese,Dec 1962,22822105.0
Chinese,Dec 1963,26817908.0
Chinese,Dec 1964,20566294.0
Chinese,Dec 1965,17546055.0
Chinese,Dec 1966,9813066.0
Chinese,Dec 1967,4234454.0
Chinese,Dec 1968,3628261.0
Chinese,Dec 1969,6484193.0
Chinese,Dec 1970,5760897.0
Chinese,Dec 1971,7852551.0
Chinese,Dec 1972,17878855.0
Chinese,Dec 1973,22012116.0
Chinese,Dec 1974,23082498.0
Chinese,Dec 1975,31089039.0
Chinese,Dec 1976,24505099.0
Chinese,Dec 1977,40825845.0
Chinese,Dec 1978,68881357.0
Chinese,Dec 1979,157781913.0
Chinese,Dec 1980,201205796.0
Chinese,Dec 1981,277705405.0
Chinese,Dec 1982,317219537.0
Chinese,Dec 1983,361012475.0
Chinese,Dec 1984,428389208.0
Chinese,Dec 1985,498835528.0
Chinese,Dec 1986,479772065.0
Chinese,Dec 1987,547202099.0
Chinese,Dec 1988,600079092.0
Chinese,Dec 1989,527682354.0
Chinese,Dec 1990,456945810.0
Chinese,Dec 1991,477340033.0
Chinese,Dec 1992,488817853.0
Chinese,Dec 1993,555393451.0
Chinese,Dec 1994,528860382.0
Chinese,Dec 1995,422697623.0
Chinese,Dec 1996,458169841.0
Chinese,Dec 1997,446327292.0
Chinese,Dec 1998,532257012.0
Chinese,Dec 1999,519475395.0
Chinese,Dec 2000,542876654.0
